Drill Listing
=============
Drill: .01575  Tool: 1  Feed: 95  Speed: 300
X 462598  Y 204330
X 584645  Y 201968
X 595669  Y 138582
X 616929  Y 138582
X 711023  Y 153149
X 750787  Y 214566
X 754724  Y 201968
X 754724  Y 153149
X 694881  Y 236614
X 647244  Y 251968
X 637007  Y 250393
X 616929  Y 226771
X 605905  Y 231496
X 577559  Y 252755
X 538976  Y 251574
X 527559  Y 261023
X 515748  Y 251574
X 515748  Y 255905
X 464173  Y 256299
X 457480  Y 243307
X 388582  Y 243307
X 380708  Y 247244
X 372440  Y 243307
X 367322  Y 239763
X 362598  Y 247244
X 352362  Y 236220
X 348425  Y 243700
X 342125  Y 247244
X 292913  Y 255511
X 153543  Y 255118
X 134251  Y 245275
X 118503  Y 259842
X 115748  Y 245275
X 121653  Y 266141
X 135039  Y 307874
X 144881  Y 266141
X 157480  Y 313779
X 288582  Y 310629
X 298818  Y 267716
X 303543  Y 313385
X 320866  Y 313385
X 361811  Y 268897
X 373228  Y 268897
X 374409  Y 307480
X 381889  Y 312992
X 535433  Y 311811
X 540944  Y 299606
X 546062  Y 312992
X 552755  Y 313385
X 562204  Y 273622
X 568503  Y 278740
X 580314  Y 307874
X 601968  Y 292913
X 617322  Y 272047
X 630708  Y 274803
X 642519  Y 292913
X 533070  Y 315748
X 529133  Y 319685
X 524015  Y 319685
X 518503  Y 341338
X 508661  Y 319685
X 507480  Y 333858
X 453149  Y 350000
X 440944  Y 341338
X 440551  Y 346456
X 433858  Y 359842
X 427952  Y 364566
X 419291  Y 351574
X 417322  Y 359842
X 403937  Y 340157
X 395669  Y 336614
X 395669  Y 349606
X 384645  Y 354724
X 375196  Y 324015
X 359448  Y 318110
X 354330  Y 321653
X 348818  Y 347244
X 336614  Y 321259
X 329921  Y 347244
X 325984  Y 321259
X 321259  Y 318503
X 312992  Y 327952
X 308661  Y 316929
X 303543  Y 320866
X 296456  Y 324015
X 288582  Y 320866
X 275590  Y 320866
X 266929  Y 320866
X 256299  Y 346062
X 255511  Y 358661
X 213385  Y 348031
X 150000  Y 318897
X 135433  Y 346456
X 129921  Y 318897
X 123228  Y 346456
X 135433  Y 382283
X 141338  Y 414173
X 141732  Y 368110
X 153543  Y 365748
X 164173  Y 370078
X 168503  Y 375590
X 189763  Y 375590
X 197637  Y 410629
X 197637  Y 404330
X 200787  Y 407086
X 246456  Y 387401
X 274409  Y 406692
X 277165  Y 403937
X 295669  Y 409055
X 296062  Y 403149
X 298031  Y 390157
X 311811  Y 409055
X 313779  Y 390157
X 317716  Y 403149
X 321259  Y 408267
X 324803  Y 381102
X 327952  Y 389763
X 330708  Y 391732
X 330708  Y 412204
X 333858  Y 402362
X 337401  Y 408267
X 338188  Y 405118
X 344881  Y 402755
X 348818  Y 384251
X 363385  Y 402755
X 367322  Y 390551
X 373622  Y 388188
X 375984  Y 385039
X 394881  Y 370078
X 398031  Y 402362
X 404724  Y 411023
X 407874  Y 395669
X 416535  Y 370078
X 452362  Y 395275
X 474015  Y 413779
X 481496  Y 394094
X 496456  Y 411023
X 501574  Y 414173
X 530708  Y 391338
X 534251  Y 411023
X 534645  Y 397244
X 537007  Y 407874
X 540551  Y 400393
X 540944  Y 407874
X 542519  Y 403543
X 524803  Y 419685
X 523228  Y 437007
X 511023  Y 433858
X 499212  Y 431496
X 497637  Y 419685
X 486614  Y 439763
X 464173  Y 419685
X 442125  Y 419685
X 432677  Y 437007
X 414566  Y 424015
X 412204  Y 429921
X 407874  Y 419291
X 405905  Y 430314
X 397637  Y 440157
X 394094  Y 437795
X 392125  Y 433858
X 388188  Y 430314
X 385433  Y 433070
X 371259  Y 416929
X 362992  Y 419685
X 349606  Y 421653
X 338582  Y 424015
X 337401  Y 440157
X 335826  Y 429527
X 292125  Y 416535
X 289370  Y 435433
X 289370  Y 431496
X 277559  Y 429527
X 277559  Y 437401
X 272047  Y 428346
X 260236  Y 428346
X 249212  Y 417322
X 138976  Y 453937
X 153937  Y 444881
X 159055  Y 444881
X 246456  Y 462992
X 249212  Y 456299
X 252362  Y 452362
X 255118  Y 461023
X 277559  Y 448031
X 289370  Y 449606
X 292519  Y 462992
X 297244  Y 462992
X 301968  Y 463779
X 305511  Y 463779
X 305905  Y 443307
X 319291  Y 451968
X 324409  Y 443700
X 337401  Y 449606
X 338582  Y 445275
X 351181  Y 444881
X 365354  Y 444881
X 385039  Y 452755
X 388582  Y 443700
X 402362  Y 446850
X 452362  Y 459842
X 456299  Y 453937
X 459448  Y 450000
X 470078  Y 448425
X 485039  Y 460236
X 489763  Y 444488
X 502362  Y 452755
X 509055  Y 462598
X 509448  Y 448425
X 527165  Y 444488
X 611023  Y 446062
X 622834  Y 446062
X 497244  Y 475196
X 485826  Y 475196
X 474409  Y 480708
X 461811  Y 475196
X 333858  Y 471653

Drill: .02362  Tool: 2  Feed: 197  Speed: 550
X 123622  Y 203543
X 139763  Y 174803
X 150000  Y 194094
X 160236  Y 206692
X 178740  Y 209448
X 190551  Y 207874
X 258661  Y 177165
X 260629  Y 200787
X 267716  Y 194094
X 320078  Y 193700
X 352362  Y 203543
